model,r2_score,mse,rmse,mae
LinearRegression,-0.24181396782822695,2.449158300318636,1.5649786900525628,1.3350545418307926
LogisticRegression,-0.31237375668388867,2.588319315592768,1.6088254459675755,1.3648546696284125
Pipeline,-0.37769368227049127,2.717146049766491,1.6483767924132184,1.4043953900659396
GradientBoostingClassifier,-0.4395142455584695,2.839071192847237,1.6849543592771992,1.4171800131624952
GradientBoostingRegressor,-0.5942688794994129,3.1442848609557448,1.7732131459460097,1.5529283210521145
ExtraTreesRegressor,-0.5963532899314128,3.148395823823823,1.7743719519378747,1.5543661838842946
RandomForestRegressor,-0.5965957783824456,3.148874069855809,1.7745067116964672,1.554829514159638
MLPClassifier,-0.5993958411929197,3.154396472769089,1.776062068951727,1.481060327878928
DecisionTreeClassifier,-0.6968965198793999,3.346691456299766,1.8293964732391297,1.5304367826494396
RandomForestClassifier,-0.698063879257788,3.348993772093519,1.8300256206112304,1.530620603577479
