prob_1,prob_2,prob_3,prob_4,prob_5,test_configuration,model,true_mos,predicted_mos,mse
0.0,0.761118870243434,0.18825649786185164,0.03958391871294973,0.011040713181764902,"(30, 2.5, 8, 1)",RandomForestClassifier,2.0,2.3005464748330464,0.090328183534571
0.07204964231465062,0.262357629507492,0.2604494605205664,0.272104695217848,0.13303857243944298,"(30, 2.5, 8, 1)",LogisticRegression,2.0,3.1317249259599405,1.2808013080390328
0.01288763212675155,0.5816073937552764,0.19144784816948132,0.1304866033646113,0.08357052258387956,"(30, 2.5, 8, 1)",GradientBoostingClassifier,2.0,2.690244990523591,0.47643814694291226
0.0,0.7625,0.1875,0.0375,0.0125,"(30, 2.5, 8, 1)",DecisionTreeClassifier,2.0,2.3,0.0899999999999999
0.08889743191956986,0.6071958029213002,0.20143800556559158,0.08731894284680486,0.01514981674673353,"(30, 2.5, 8, 1)",MLPClassifier,2.0,2.332627909579832,0.11064132623144883
0.8687353615938634,0.0,0.10426066099706681,0.019718174101712668,0.007285803307357104,"(30, 2.5, 8, 2)",RandomForestClassifier,3.0,1.2968190575287002,2.900825322797425
0.3524346058222628,0.13125926792507953,0.20057438504355807,0.21132860652343927,0.10440313468566044,"(30, 2.5, 8, 2)",LogisticRegression,3.0,2.5840063963251554,0.1730506782983837
0.6203199656317432,0.050219035350156975,0.13736863741792812,0.11554454932783753,0.07654781227233419,"(30, 2.5, 8, 2)",GradientBoostingClassifier,3.0,1.9777812072588625,1.0449312602331486
0.8671328671328671,0.0,0.1048951048951049,0.02097902097902098,0.006993006993006993,"(30, 2.5, 8, 2)",DecisionTreeClassifier,3.0,1.3006993006993006,2.887622866643846
0.8197022123438266,0.08558255898571322,0.06795059699555041,0.022536096613881403,0.004228535061028235,"(30, 2.5, 8, 2)",MLPClassifier,3.0,1.3060061830625709,2.8696150518222403
0.6559946772028035,0.3234221987824749,0.0,0.015178480621558594,0.005404643393163113,"(30, 2.5, 8, 3)",RandomForestClassifier,4.0,1.3905762142198033,6.809092493795455
0.3131007802568608,0.19087299441209885,0.18393844241009327,0.2084169271471972,0.1036708557737499,"(30, 2.5, 8, 3)",LogisticRegression,4.0,2.5986840837688763,1.9636862970826738
0.45692029181567234,0.2529611852079075,0.08628112785695692,0.12194153090369488,0.08189586421576836,"(30, 2.5, 8, 3)",GradientBoostingClassifier,4.0,2.1189314904959793,3.538418737447678
0.656084656084656,0.32275132275132273,0.0,0.015873015873015872,0.005291005291005291,"(30, 2.5, 8, 3)",DecisionTreeClassifier,4.0,1.3915343915343914,6.804092830547857
0.6371451340664884,0.2943475260531701,0.03891676787122603,0.024592661673882157,0.004997910335233353,"(30, 2.5, 8, 3)",MLPClassifier,4.0,1.4659506881582018,6.421405914845891
0.6165638541128046,0.303915109061241,0.07363481364050718,0.0,0.00588622318544697,"(30, 2.5, 8, 4)",RandomForestClassifier,5.0,1.4747296290840428,12.427531188057932
0.30502255579089815,0.18958875971067338,0.19610561155886935,0.20565774647681526,0.10362532646274392,"(30, 2.5, 8, 4)",LogisticRegression,5.0,2.6132745281098337,5.696458478169337
