model,r2_score,mse,rmse,mae
GradientBoostingRegressor,0.4158386964898214,0.8242900736958029,0.9079042205518173,0.7273656379196641
RandomForestRegressor,0.3398301802625996,0.931543096218808,0.9651648026211939,0.7680639642584722
GradientBoostingClassifier,0.3330091233555945,0.9411680567678433,0.9701381637518665,0.8177106326049912
RandomForestClassifier,0.3213311254688279,0.9576464809305875,0.9785941349357187,0.7833208020050125
Pipeline,0.2885320457558006,1.0039281426417432,1.0019621463117971,0.8077089256228552
LogisticRegression,0.23764798490373784,1.0757289038658349,1.0371735167588088,0.8684781920725725
Ridge,0.13505156876055824,1.220499204321235,1.104762057784949,0.9220583035350651
LinearRegression,0.13505149453912968,1.2204993090525593,1.1047621051848941,0.9220583187169764
Lasso,0.038656138944346385,1.3565195046555576,1.164697172940485,0.9938655235018727
KNeighborsRegressor,-0.06834308137323619,1.507502451781628,1.2278039142231254,1.0132396207911083
DecisionTreeClassifier,-0.11451527799635608,1.572654462242563,1.2540552070154498,0.9246485779666558
DecisionTreeRegressor,-0.12152335099108447,1.582543314808761,1.2579917785139778,0.9261196469434456
MLPClassifier,-0.15822241248315705,1.6343281076734943,1.2784084275666734,1.040691905480588
MLPRegressor,-0.6978732902303204,2.3958110390406917,1.5478407666942655,1.2191124446336534
