true_mos,predicted_mos,test_configuration,model,mse
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
0.0,0.3232199082631301,"(30, 2.5, 8, 1)",RandomForestRegressor,0.1044711090976262
