prob_1,prob_2,prob_3,prob_4,prob_5,test_configuration,model,true_mos,predicted_mos,mse
0.0,0.75,0.0,0.25,0.0,"(30, 2.5, 8, 1, 3408, 805)",RandomForestClassifier,1.0,2.5,2.25
0.348443303464413,0.18578267115155941,0.16424784473337478,0.18286359379478745,0.11866258685586528,"(30, 2.5, 8, 1, 3408, 805)",LogisticRegression,1.0,2.537519489426132,2.363966180365194
0.6963967481095852,0.168952295736598,0.05958252402711512,0.04846019915553747,0.026608232971164162,"(30, 2.5, 8, 1, 3408, 805)",GradientBoostingClassifier,1.0,1.539930873142097,0.29152534777198735
0.0,1.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3408, 805)",DecisionTreeClassifier,1.0,2.0,1.0
0.008575548759343304,0.5381006388353886,0.04676992249716605,0.2960650550466423,0.11048883486145968,"(30, 2.5, 8, 1, 3408, 805)",MLPClassifier,1.0,2.9617909884154865,3.8486238822282113
1.0,0.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3410, 1163)",RandomForestClassifier,1.0,1.0,0.0
0.3786458829165361,0.19636405253052402,0.1416646262314101,0.15230684434517572,0.13101859397635415,"(30, 2.5, 8, 1, 3410, 1163)",LogisticRegression,1.0,2.4606882139342883,2.133610058326541
0.7623787110037235,0.13280748590259112,0.05142331936056707,0.03289203529833492,0.020498448434783167,"(30, 2.5, 8, 1, 3410, 1163)",GradientBoostingClassifier,1.0,1.4163240242578625,0.1733256931742613
1.0,0.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3410, 1163)",DecisionTreeClassifier,1.0,1.0,0.0
0.013516003582360471,0.008728377057055448,0.0037454989370237684,0.9733548169419487,0.0006553034816115749,"(30, 2.5, 8, 1, 3410, 1163)",MLPClassifier,1.0,3.9389050396833953,8.63716283227646
1.0,0.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3416, 1163)",RandomForestClassifier,1.0,1.0,0.0
0.3782934062614804,0.19647689071033508,0.14178998311385388,0.1524121444306705,0.13102757548366012,"(30, 2.5, 8, 1, 3416, 1163)",LogisticRegression,1.0,2.461403592164695,2.135700459191874
0.7623787110037235,0.13280748590259112,0.05142331936056707,0.03289203529833492,0.020498448434783167,"(30, 2.5, 8, 1, 3416, 1163)",GradientBoostingClassifier,1.0,1.4163240242578625,0.1733256931742613
1.0,0.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3416, 1163)",DecisionTreeClassifier,1.0,1.0,0.0
0.20535206906972142,0.41025048603995706,0.009758595696779991,0.05247209393254886,0.32216675526099264,"(30, 2.5, 8, 1, 3416, 1163)",MLPClassifier,1.0,2.875850980275134,3.518816900199182
1.0,0.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3457, 1001)",RandomForestClassifier,1.0,1.0,0.0
0.36740759272070417,0.19112086558151675,0.15156693160565413,0.16536239723952564,0.12454221285259931,"(30, 2.5, 8, 1, 3457, 1001)",LogisticRegression,1.0,2.488510771921799,2.21566431812723
0.7016299081988807,0.17021711916905102,0.06002749732406142,0.04131855464487768,0.026806920663129032,"(30, 2.5, 8, 1, 3457, 1001)",GradientBoostingClassifier,1.0,1.521455460404323,0.27191579718548436
1.0,0.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3457, 1001)",DecisionTreeClassifier,1.0,1.0,0.0
0.13952077143104255,0.4759611822598602,0.06557162978853905,0.15064693603387067,0.1682994804866876,"(30, 2.5, 8, 1, 3457, 1001)",MLPClassifier,1.0,2.732243171885301,3.0006664065432487
0.25,0.5,0.0,0.0,0.25,"(30, 2.5, 8, 1, 3464, 652)",RandomForestClassifier,1.0,2.5,2.25
0.34249162335935884,0.17869142345060646,0.17273932401470032,0.1946665359659273,0.11141109320940706,"(30, 2.5, 8, 1, 3464, 652)",LogisticRegression,1.0,2.553814052215417,2.4143381088620943
0.6731718296797577,0.1696945508099933,0.07368909757264981,0.045906635417249465,0.03753788652034961,"(30, 2.5, 8, 1, 3464, 652)",GradientBoostingClassifier,1.0,1.6049441982884396,0.3659574830428429
0.0,1.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3464, 652)",DecisionTreeClassifier,1.0,2.0,1.0
0.07672328491394562,0.008682053560185253,0.069735255852516,0.052125454829097854,0.7927339508442554,"(30, 2.5, 8, 1, 3464, 652)",MLPClassifier,1.0,4.475464733129533,12.078855111227135
0.0,1.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3494, 805)",RandomForestClassifier,1.0,2.0,1.0
0.34508830577254596,0.18670142656735358,0.16577745858977314,0.1840678157275631,0.11836499334276428,"(30, 2.5, 8, 1, 3494, 805)",LogisticRegression,1.0,2.5439197643006466,2.383688238598164
0.6963967481095852,0.168952295736598,0.05958252402711512,0.04846019915553747,0.026608232971164162,"(30, 2.5, 8, 1, 3494, 805)",GradientBoostingClassifier,1.0,1.539930873142097,0.29152534777198735
0.0,1.0,0.0,0.0,0.0,"(30, 2.5, 8, 1, 3494, 805)",DecisionTreeClassifier,1.0,2.0,1.0
0.09649259613064785,0.029112179992183886,0.12664689924238454,0.5543336611954062,0.1934146634393775,"(30, 2.5, 8, 1, 3494, 805)",MLPClassifier,1.0,3.719065615820681,7.3933178231383
0.75,0.0,0.0,0.25,0.0,"(30, 2.5, 8, 1, 3518, 590)",RandomForestClassifier,1.0,1.75,0.5625
0.33166949149900954,0.177985621807497,0.1786633724296631,0.202104575331493,0.10957693893233747,"(30, 2.5, 8, 1, 3518, 590)",LogisticRegression,1.0,2.5799338483906515,2.496190965290494
