model,r2_score,mse,rmse,mae
DecisionTreeClassifier,0.9646510029261206,0.031158875784867514,0.1765187689308633,0.12760123514696697
RandomForestRegressor,0.9526558645600017,0.036015472635628695,0.18977742920492072,0.14703724712299918
GradientBoostingRegressor,0.9491279151290567,0.0386992425473448,0.19672123054552298,0.1533254408603899
Pipeline,0.9453200568965755,0.04159594374798429,0.20395083659545085,0.16041907553997728
RandomForestClassifier,0.9317853156994775,0.060128802816714975,0.24521175097599823,0.17922167221736002
GradientBoostingClassifier,0.9262360086533841,0.06502031836890831,0.25499082016595875,0.17617615248219384
DecisionTreeRegressor,0.909690204273643,0.06870016627157448,0.26210716562424324,0.18197720546284413
LogisticRegression,0.759064371280391,0.21237613366322744,0.460842851374769,0.4080271310988437
MLPClassifier,-5.525934789419928,5.752377954562575,2.3984115482048893,2.1787505803243357
