model,r2_score,mse,rmse,mae
HistGradientBoostingClassifier,0.9590002861653961,0.022412334806360602,0.14970749749548484,0.1227215435609336
BaggingClassifier,0.9540755623103894,0.02510441603191601,0.1584437314377442,0.13132992612134273
GradientBoostingClassifier,0.9498699780241279,0.02740338239690831,0.16553967016068477,0.14314682242025373
HistGradientBoostingRegressor,0.947173307939313,0.02887750665657953,0.1699338302298266,0.14186709655443183
LogisticRegression,0.9466292317122752,0.029174923819288108,0.17080668552281,0.1444431937142801
RandomForestRegressor,0.946528212664242,0.02923014549072402,0.17096825872285187,0.14080080243976983
GradientBoostingRegressor,0.9440259866745122,0.030597977638754,0.17492277621497435,0.1447018413550487
BaggingRegressor,0.9414297638105794,0.03201719281408724,0.17893348712325272,0.1542501873646421
DecisionTreeRegressor,0.9403206015803819,0.03262351205226629,0.18061979972380185,0.14450964418551063
AdaBoostRegressor,0.9276927594861973,0.03952647303483418,0.19881265813532642,0.17658690408427868
Lasso,0.925593689260967,0.04067392164532224,0.20167776685922084,0.1548231176792687
ElasticNet,0.9255437481981486,0.040701221733927435,0.20174543795071906,0.154675304496791
Ridge,0.9254776637583552,0.040737346537044736,0.20183494875032107,0.15450884954311825
LinearRegression,0.9254765282429158,0.040737967262162625,0.20183648644921123,0.15450716827880773
Pipeline,0.9206100114943925,0.04339822979835164,0.20832241789675837,0.1537798351812843
DecisionTreeClassifier,0.8925873790040685,0.05871669333842303,0.24231527673348008,0.1847798377275271
KNeighborsRegressor,0.8552431596670405,0.07913076623268876,0.2813019129559711,0.24227983772752712
KNeighborsClassifier,0.8552431596670403,0.0791307662326888,0.28130191295597123,0.24227983772752718
SVC,0.8118485086421665,0.10285228418030426,0.3207059154120863,0.27696791670377874
SVR,0.7633983128040797,0.1293373961237065,0.3596350874479665,0.29875251040526374
RandomForestClassifier,0.6942705354293174,0.16712582794527464,0.4088102590998355,0.3267713167809741
MLPRegressor,0.21267049460361187,0.4303906253847306,0.6560416338806025,0.507996218819986
MLPClassifier,0.003659329156171065,0.5446457696321523,0.7380011989367986,0.5979105685666286
