prob_1,prob_2,prob_3,prob_4,prob_5,test_configuration,model,true_mos,predicted_mos,mse
0.0,0.81,0.0,0.01,0.18,"(30, 3269, 10, 1144.3)",RandomForestClassifier,3.0,2.56,0.19359999999999997
0.04641466351475352,0.17654815478987337,0.2332711943143518,0.332348688263375,0.21141729911764634,"(30, 3269, 10, 1144.3)",LogisticRegression,3.0,3.4858058046792877,0.2360072798600902
0.017347491725336256,0.5967283486850271,0.060692856748246385,0.19213233613528216,0.1330989667061081,"(30, 3269, 10, 1144.3)",GradientBoostingClassifier,3.0,2.8269069374117985,0.029961208316163026
0.0,1.0,0.0,0.0,0.0,"(30, 3269, 10, 1144.3)",DecisionTreeClassifier,3.0,2.0,1.0
0.06131412415549215,0.024942472834585446,0.12887781702384238,0.5773458005276585,0.20751978545842148,"(30, 3269, 10, 1144.3)",MLPClassifier,3.0,3.8448146502989315,0.713711793359706
0.27,0.64,0.04,0.05,0.0,"(30, 3280, 8, 703.8)",RandomForestClassifier,3.0,1.8699999999999999,1.2769000000000004
0.2626524005342703,0.18503916417836655,0.19934437569020383,0.2269341788255542,0.12602988077160523,"(30, 3280, 8, 703.8)",LogisticRegression,3.0,2.768649975121858,0.053522834011116995
0.18148071023343548,0.525436853846877,0.08833765732086687,0.14424175713516185,0.060503021463658824,"(30, 3280, 8, 703.8)",GradientBoostingClassifier,3.0,2.3768495257487317,0.38831651355958063
0.0,1.0,0.0,0.0,0.0,"(30, 3280, 8, 703.8)",DecisionTreeClassifier,3.0,2.0,1.0
0.8518322950563254,0.006585134112578058,0.0077412022624847865,0.12855781361701346,0.005283554951598189,"(30, 3280, 8, 703.8)",MLPClassifier,3.0,1.4288751992949806,2.468433139390387
0.27,0.64,0.04,0.05,0.0,"(30, 3291, 8, 703.8)",RandomForestClassifier,3.0,1.8699999999999999,1.2769000000000004
0.26547892530350853,0.18432861198770242,0.19867918358031417,0.22610262776198878,0.1254106513664861,"(30, 3291, 8, 703.8)",LogisticRegression,3.0,2.7616374679002416,0.05681669670900837
0.18148071023343548,0.525436853846877,0.08833765732086687,0.14424175713516185,0.060503021463658824,"(30, 3291, 8, 703.8)",GradientBoostingClassifier,3.0,2.3768495257487317,0.38831651355958063
