prob_1,prob_2,prob_3,prob_4,prob_5,test_configuration,model,true_mos,predicted_mos,mse
0.0,0.19299333695756216,0.3605207141666375,0.34428379591115726,0.10220215296464322,"(30, 8, 703.8)",RandomForestClassifier,3.2663398692810457,3.355694764882882,0.007984297368015083
0.001113255763041295,0.1455767770111789,0.30890024591188814,0.36963598420107185,0.17477373711281977,"(30, 8, 703.8)",LogisticRegression,3.2663398692810457,3.5713801698894496,0.09304958499526543
0.0018482742184813856,0.16409223888547114,0.32381547173545816,0.3524729877193939,0.15777102744119548,"(30, 8, 703.8)",GradientBoostingClassifier,3.2663398692810457,3.500226255279351,0.05470284155534829
0.0,0.19532554257095158,0.3589315525876461,0.34390651085141904,0.1018363939899833,"(30, 8, 703.8)",DecisionTreeClassifier,3.2663398692810457,3.352253756260434,0.007381195975907104
0.012771261265181084,0.202938850355938,0.25908139902707294,0.37186720460820033,0.1533412847436077,"(30, 8, 703.8)",MLPClassifier,3.2663398692810457,3.4500684012091156,0.03375617344444381
0.3060842925182914,0.32909408151564973,0.19314269100700676,0.13299621642873038,0.038682718530321784,"(30, 9, 905.8)",RandomForestClassifier,4.352253756260434,2.2690989869371414,4.339533792954381
0.11732642928052774,0.1930050071482104,0.21197266646290872,0.30399625272004577,0.17369964438830726,"(30, 9, 905.8)",LogisticRegression,4.352253756260434,3.223737675787394,1.273548543886233
0.2210706361148854,0.2649203700217803,0.19944661618444956,0.19964756505132739,0.11491481262755744,"(30, 9, 905.8)",GradientBoostingClassifier,4.352253756260434,2.7224155480548915,2.656372584926653
0.30718954248366015,0.3284313725490196,0.19281045751633988,0.13398692810457516,0.03758169934640523,"(30, 9, 905.8)",DecisionTreeClassifier,4.352253756260434,2.2663398692810457,4.35103674389346
0.12293982750803213,0.19623263003627153,0.2259025497520457,0.27335086884373894,0.18157412385991178,"(30, 9, 905.8)",MLPClassifier,4.352253756260434,3.1943868315112267,1.3406558154281865
0.0,0.19534516414875533,0.35883509481615805,0.3469172848462609,0.09890245618882552,"(30, 10, 1144.3)",RandomForestClassifier,4.835820895522389,3.3493770330751564,2.209515356207046
0.032447898021885704,0.20555814438278058,0.2653923874806027,0.3165168244101355,0.18008474570459548,"(30, 10, 1144.3)",LogisticRegression,4.835820895522389,3.4062323753927743,2.043723336886381
0.034089329336868535,0.18551266994209825,0.3158100817559919,0.3273564139971091,0.1372315049679323,"(30, 10, 1144.3)",GradientBoostingClassifier,4.835820895522389,3.348128095317138,2.2132298677825393
0.0,0.19532554257095158,0.3589315525876461,0.34390651085141904,0.1018363939899833,"(30, 10, 1144.3)",DecisionTreeClassifier,4.835820895522389,3.352253756260434,2.2009714566979
0.04496282616432099,0.22544043196702573,0.2809596899557833,0.296741419727781,0.15189563218508897,"(30, 10, 1144.3)",MLPClassifier,4.835820895522389,3.2851665998022916,2.4045287448351904
0.0,0.08611929688868443,0.23999614790241414,0.4231409100952591,0.25074364511364233,"(30, 11, 1409.2)",RandomForestClassifier,4.892156862745098,3.8385089034338593,1.1101740221607386
0.0022998393849803906,0.1619606052361248,0.24764641197806467,0.39729086797095825,0.19080227542987183,"(30, 11, 1409.2)",LogisticRegression,4.892156862745098,3.612335134824616,1.6379436552573687
0.033430634052978775,0.1198716215747364,0.23770367126907868,0.38475246415331754,0.2242416089498887,"(30, 11, 1409.2)",GradientBoostingClassifier,4.892156862745098,3.6465027923724014,1.551654063036068
0.0,0.087893864013267,0.24046434494195687,0.41956882255389716,0.25207296849087896,"(30, 11, 1409.2)",DecisionTreeClassifier,4.892156862745098,3.835820895522388,1.1158456756483395
0.008148417933406737,0.1193368053743978,0.2519905998102263,0.42353377431232136,0.19699040256964775,"(30, 11, 1409.2)",MLPClassifier,4.892156862745098,3.6818809382104054,1.464767813508306
0.006137618595712055,0.09146356649947077,0.2209495397805406,0.36815271336459465,0.3132965617596821,"(30, 16, 2713.6)",RandomForestClassifier,4.9526143790849675,3.891007033193065,1.1270101568516497
6.533800789103201e-14,0.0012487405385490473,0.10932728858081683,0.38345773857767246,0.5059662323028964,"(30, 16, 2713.6)",LogisticRegression,4.9526143790849675,4.394141462644786,0.31189199839720205
0.03699210794396332,0.12281700446328872,0.2278043412485548,0.3498076295957409,0.26257891674845235,"(30, 16, 2713.6)",GradientBoostingClassifier,4.9526143790849675,3.6781642427414303,1.6242231500260607
0.006535947712418301,0.0915032679738562,0.21895424836601307,0.369281045751634,0.3137254901960784,"(30, 16, 2713.6)",DecisionTreeClassifier,4.9526143790849675,3.8921568627450984,1.1245701439617237
5.911609808474157e-09,0.001861996097338399,0.06833422809867017,0.29125036119282227,0.6385534086995593,"(30, 16, 2713.6)",MLPClassifier,4.9526143790849675,4.5664951706713826,0.14908804310593343
,,,,,"(30, 8, 703.8)",RandomForestRegressor,2.2663398692810457,3.3513819958934805,1.177316416523635
,,,,,"(30, 8, 703.8)",GradientBoostingRegressor,2.2663398692810457,3.35226805232113,1.179240018720739
,,,,,"(30, 8, 703.8)",ExtraTreesRegressor,2.2663398692810457,3.352253756260438,1.1792089699346924
,,,,,"(30, 8, 703.8)",LinearRegression,2.2663398692810457,2.0411966137425814,0.05068948551445822
,,,,,"(30, 8, 703.8)",Pipeline,2.2663398692810457,2.8878061923454124,0.38622039070314373
,,,,,"(30, 9, 905.8)",RandomForestRegressor,3.352253756260434,2.266413697183526,1.179048633896143
,,,,,"(30, 9, 905.8)",GradientBoostingRegressor,3.352253756260434,2.266382602161213,1.1791161633047742
