model,r2_score,mse,rmse,mae
GradientBoostingClassifier,0.9516291871807027,0.026441717523572238,0.16260909422160938,0.13147806468114825
RandomForestRegressor,0.9461566580688497,0.029433254371541262,0.17156122630577475,0.1424272989808967
GradientBoostingRegressor,0.9448657884251834,0.030138903263675694,0.17360559686736973,0.14514389959791696
DecisionTreeClassifier,0.9403206015803819,0.0326235120522663,0.18061979972380188,0.14450964418551066
RandomForestClassifier,0.9365900592475557,0.034662798572896496,0.18617947946241684,0.15756969822207018
Pipeline,0.9246465542100841,0.04119166935333942,0.20295730918924654,0.15264160027552492
DecisionTreeRegressor,0.8925873790040685,0.05871669333842304,0.2423152767334801,0.18477983772752707
LogisticRegression,0.8692717838000703,0.07146207317277067,0.2673239105893273,0.2201351092787096
