Category,Pearson_Correlation,Spearman_Correlation,Sample_Size
Overall,0.6707871274004097,0.7361115210290626,2857
Low,0.731811041868911,0.7893877197729028,818
Medium,0.6366788306100812,0.6966109168666785,1346
High,0.6480068763120066,0.7053724983794447,693
