Category,Pearson_Correlation,Spearman_Correlation,Sample_Size
Overall,0.7105478833281874,0.7774996575303885,3103
Low,0.7672282117066447,0.80190962418426,836
Medium,0.637814138694932,0.7244279273424419,1431
High,0.7075914345283846,0.7718000845558973,836
