user_id,pc_name,second,head_velocity_m_per_s,gaze_velocity_deg_per_s,head_movement_category,gaze_movement_category,overall_movement_category
1,PCBlueSpin,1,0.02450433218441575,13.242117898887441,Medium,Low,Medium
1,PCBlueSpin,2,0.25072415053494107,11.444520622209545,Medium,Low,Medium
1,PCBlueSpin,3,1.0855520331605772,83.1261942238812,Medium,Low,Medium
1,PCBlueSpin,4,0.23469490398385295,12.767399512010515,Medium,Low,Medium
1,PCBlueSpin,5,0.6106068602521995,37.14829900291087,Medium,Low,Medium
1,PCBlueSpin,6,1.0066457906010762,125.05799867533317,Medium,Low,Medium
1,PCBlueSpin,7,0.7353263908619517,78.28557738071908,Medium,Low,Medium
1,PCBlueSpin,8,0.8109884545842588,97.4774996087378,Medium,Low,Medium
1,PCBlueSpin,9,0.8127056102979228,34.41998079816958,Medium,Low,Medium
1,PCBlueSpin,10,2.247694348048221,152.53301977335266,Medium,Low,Medium
1,PCBlueSpin,11,1.1833779907529391,116.28066233000953,Medium,Low,Medium
1,PCBlueSpin,12,1.3752868615214857,95.95008400065913,Medium,Low,Medium
1,PCBlueSpin,13,0.6614421426740118,55.90879987953559,Medium,Low,Medium
1,PCBlueSpin,14,0.7770607205085954,151.1159656346408,Medium,Low,Medium
1,PCBlueSpin,15,0.702973845846617,63.83638157037586,Medium,Low,Medium
1,PCBlueSpin,16,0.9223466231841091,110.30041227139894,Medium,Low,Medium
1,PCBlueSpin,17,2.2238575553035203,139.17675672955352,Medium,Low,Medium
1,PCBlueSpin,18,0.9464784294277373,34.81543042010449,Medium,Low,Medium
1,PCBlueSpin,19,1.126192451022073,58.0778202970516,Medium,Low,Medium
1,PCCasualSquat,1,0.11575038155959955,25.45958925951383,Medium,Low,Medium
1,PCCasualSquat,2,0.06860345871519702,7.6670240284839055,Medium,Low,Medium
1,PCCasualSquat,3,0.22604517934527163,16.425040484788987,Medium,Low,Medium
1,PCCasualSquat,4,0.3008729034780291,13.743122154637167,Medium,Low,Medium
1,PCCasualSquat,5,0.7478398163415799,45.17049366043473,Medium,Low,Medium
1,PCCasualSquat,6,0.25529317734749357,14.374556601570582,Medium,Low,Medium
1,PCCasualSquat,7,1.3221245647228579,70.32007109553166,Medium,Low,Medium
1,PCCasualSquat,8,0.3677381047184165,30.298843242927536,Medium,Low,Medium
1,PCCasualSquat,9,1.075734933776788,54.32250146886622,Medium,Low,Medium
1,PCCasualSquat,10,0.349312537828865,38.09696194631271,Medium,Low,Medium
1,PCCasualSquat,11,0.29474224457484755,26.431710647935066,Medium,Low,Medium
1,PCCasualSquat,12,0.3458347319005248,31.699352841361797,Medium,Low,Medium
1,PCCasualSquat,13,0.38570681390393546,57.03544511190149,Medium,Low,Medium
1,PCCasualSquat,14,0.27389722235881153,18.18510660849436,Medium,Low,Medium
1,PCCasualSquat,15,1.2824023095140331,100.13370515334724,Medium,Low,Medium
1,PCCasualSquat,16,0.35311495276826016,33.27800626470175,Medium,Low,Medium
1,PCCasualSquat,17,0.8435012866686569,78.34611512089566,Medium,Low,Medium
1,PCCasualSquat,18,2.865252204464224,182.9601957740786,Medium,Low,Medium
1,PCCasualSquat,19,0.979874764699467,87.65573868605948,Medium,Low,Medium
1,PCFlowerDance,1,0.11373380858047893,60.12988629357806,Medium,Low,Medium
1,PCFlowerDance,2,0.11151335136220221,56.79014057985381,Medium,Low,Medium
1,PCFlowerDance,3,0.08850376575051616,41.58085097489265,Medium,Low,Medium
1,PCFlowerDance,4,0.03560652795744924,16.397936505012588,Medium,Low,Medium
1,PCFlowerDance,5,0.017509708027683233,5.831078134893627,Medium,Low,Medium
1,PCFlowerDance,6,0.01308508059215363,2.7983294264919056,Medium,Low,Medium
1,PCFlowerDance,7,0.009664553101924565,1.863616315439788,Medium,Low,Medium
1,PCFlowerDance,8,0.014888749638839311,3.3746981664872613,Medium,Low,Medium
1,PCFlowerDance,9,0.018242461703997084,3.5867801658161294,Medium,Low,Medium
1,PCFlowerDance,10,0.04916897879504643,22.045672251576384,Medium,Low,Medium
1,PCFlowerDance,11,0.021619409385933416,9.487772324121638,Medium,Low,Medium
1,PCFlowerDance,12,0.010398920924441694,1.9325664088408459,Medium,Low,Medium
